job_title,employee_residence,experience_level,employment_type,salary_in_usd
Data Manager,CA,MI,FT,102000
Data Manager,CA,MI,FT,70000
Data Scientist,US,SE,FT,281000
Data Scientist,US,SE,FT,206000
Data Scientist,US,SE,FT,235400
Data Scientist,US,SE,FT,209720
Data Scientist,US,SE,FT,250200
Data Scientist,US,SE,FT,117200
Data Scientist,US,EN,FT,194500
Data Scientist,US,EN,FT,125500
Research Engineer,US,SE,FT,230589
Research Engineer,US,SE,FT,100917
Research Engineer,US,MI,FT,230589
Research Engineer,US,MI,FT,100917
Research Engineer,US,MI,FT,83000
Research Engineer,US,MI,FT,66000
AI Engineer,US,MI,FT,172000
AI Engineer,US,MI,FT,75600
Machine Learning Engineer,US,MI,FT,172000
Machine Learning Engineer,US,MI,FT,75600
Data Architect,GB,SE,FT,137500
Data Architect,GB,SE,FT,83875
Data Analyst,US,SE,FT,129700
Data Analyst,US,SE,FT,113600
Data Analyst,US,SE,FT,143750
Data Analyst,US,SE,FT,106250
AI Engineer,US,SE,FT,259000
AI Engineer,US,SE,FT,139400
Data Scientist,US,SE,FT,286000
Data Scientist,US,SE,FT,110000
Data Scientist,US,SE,FT,264000
Data Scientist,US,SE,FT,132000
Data Scientist,US,MI,FT,172000
Data Scientist,US,MI,FT,75600
Business Intelligence Analyst,US,SE,FT,155000
Business Intelligence Analyst,US,SE,FT,95000
Business Intelligence,US,EX,FT,260000
Business Intelligence,US,EX,FT,160000
Data Engineer,US,SE,FT,185150
Data Engineer,US,SE,FT,127500
Data Engineer,US,SE,FT,170200
Data Engineer,US,SE,FT,125800
Data Engineer,US,SE,FT,234000
Data Engineer,US,SE,FT,90000
Data Engineer,US,SE,FT,234000
Data Engineer,US,SE,FT,90000
Data Engineer,US,SE,FT,185000
Data Engineer,US,SE,FT,115000
Data Engineer,US,EN,FT,172000
Data Engineer,US,EN,FT,75600
Data Engineer,US,MI,FT,170300
Data Engineer,US,MI,FT,73900
Data Engineer,US,SE,FT,190000
Data Engineer,US,SE,FT,95000
Data Engineer,US,SE,FT,195500
Data Engineer,US,SE,FT,117300
Data Engineer,US,MI,FT,169000
Data Engineer,US,MI,FT,106000
Data Engineer,US,MI,FT,149500
Data Engineer,US,MI,FT,110500
Data Engineer,US,SE,FT,220900
Data Engineer,US,SE,FT,122200
Data Engineer,US,SE,FT,163300
Data Engineer,US,SE,FT,120700
Research Engineer,US,SE,FT,105420
Research Engineer,US,SE,FT,88340
Data Scientist,US,SE,FT,130000
Data Scientist,US,SE,FT,117000
Data Scientist,US,SE,FT,218500
Data Scientist,US,SE,FT,109300
Data Scientist,US,SE,FT,200000
Data Scientist,US,SE,FT,163000
Data Scientist,US,SE,FT,220900
Data Scientist,US,SE,FT,122200
Data Scientist,US,SE,FT,126847
Data Scientist,US,SE,FT,93757
Data Scientist,US,EN,FT,92000
Data Scientist,US,EN,FT,69722
Data Scientist,US,SE,FT,149000
Data Scientist,US,SE,FT,115000
Machine Learning Engineer,US,SE,FT,284400
Machine Learning Engineer,US,SE,FT,150700
Data Specialist,US,MI,FT,117500
Data Specialist,US,MI,FT,65000
Machine Learning Engineer,US,SE,FT,188000
Machine Learning Engineer,US,SE,FT,144000
Machine Learning Engineer,US,MI,FT,174000
Machine Learning Engineer,US,MI,FT,141500
Machine Learning Engineer,US,SE,FT,259217
Machine Learning Engineer,US,SE,FT,170000
Machine Learning Engineer,US,SE,FT,240500
Machine Learning Engineer,US,SE,FT,195000
Machine Learning Engineer,CA,SE,FT,242000
Machine Learning Engineer,CA,SE,FT,218000
Machine Learning Engineer,US,SE,FT,285000
Machine Learning Engineer,US,SE,FT,242000
Machine Learning Engineer,US,SE,FT,333300
Machine Learning Engineer,US,SE,FT,272700
Data Specialist,US,SE,FT,92000
Data Specialist,US,SE,FT,82000
Data Engineer,US,MI,FT,165000
Data Engineer,US,MI,FT,115000
Data Engineer,US,SE,FT,140000
Data Engineer,US,SE,FT,101100
Data Engineer,US,SE,FT,260000
Data Engineer,US,SE,FT,144000
Data Engineer,US,MI,FT,210000
Data Engineer,US,MI,FT,180000
Data Engineer,US,SE,FT,200000
Data Engineer,US,SE,FT,147000
Data Engineer,US,SE,FT,164300
Data Engineer,US,SE,FT,131400
Data Engineer,US,SE,FT,165000
Data Engineer,US,SE,FT,115000
Analytics Engineer,US,MI,FT,155500
Analytics Engineer,US,MI,FT,106500
Analytics Engineer,US,SE,FT,135000
Analytics Engineer,US,SE,FT,120000
Analytics Engineer,US,MI,FT,155000
Analytics Engineer,US,MI,FT,104000
Data Scientist,US,SE,FT,184700
Data Scientist,US,SE,FT,104400
Data Scientist,US,SE,FT,257600
Data Scientist,US,SE,FT,146000
Data Scientist,US,SE,FT,151800
Data Scientist,US,SE,FT,126900
Data Scientist,US,SE,FT,129100
Data Scientist,US,SE,FT,107800
Data Scientist,US,SE,FT,151800
Data Scientist,US,SE,FT,126900
Data Scientist,US,SE,FT,213000
Data Scientist,US,SE,FT,120700
Data Scientist,US,MI,FT,180000
Data Scientist,US,MI,FT,160000
Data Scientist,US,SE,FT,125000
Data Scientist,US,SE,FT,122000
Data Analyst,US,SE,FT,164000
Data Analyst,US,SE,FT,122000
AI Engineer,US,SE,FT,240000
AI Engineer,US,SE,FT,180000
Research Engineer,US,EN,FT,175600
Research Engineer,US,EN,FT,146300
Research Engineer,US,MI,FT,720000
Research Engineer,US,MI,FT,170000
Research Engineer,US,MI,FT,720000
Research Engineer,US,MI,FT,170000
Research Analyst,US,EN,FT,200000
Research Analyst,US,EN,FT,152000
Data Engineer,GB,MI,FT,88750
Data Engineer,GB,MI,FT,64000
Research Scientist,US,SE,FT,200200
Research Scientist,US,SE,FT,186114
Research Scientist,US,SE,FT,208000
Research Scientist,US,SE,FT,143000
Research Scientist,US,MI,FT,238600
Research Scientist,US,MI,FT,112000
Research Scientist,US,EN,FT,238600
Research Scientist,US,EN,FT,94300
Data Analyst,GB,EN,FT,68750
Data Analyst,GB,EN,FT,56250
Data Engineer,US,MI,FT,208800
Data Engineer,US,MI,FT,98300
Data Engineer,US,SE,FT,250200
Data Engineer,US,SE,FT,117200
Data Engineer,US,MI,FT,208800
Data Engineer,US,MI,FT,98300
Data Engineer,US,SE,FT,250200
Data Engineer,US,SE,FT,117200
Data Engineer,US,MI,FT,160000
Data Engineer,US,MI,FT,90000
Data Engineer,US,EN,FT,154500
Data Engineer,US,EN,FT,75705
Data Scientist,US,SE,FT,235400
Data Scientist,US,SE,FT,212109
Data Scientist,US,SE,FT,223500
Data Scientist,US,SE,FT,109100
Data Scientist,US,MI,FT,154500
Data Scientist,US,MI,FT,75705
Data Scientist,US,MI,FT,235400
Data Scientist,US,MI,FT,212109
Data Architect,US,SE,FT,160000
Data Architect,US,SE,FT,125000
Data Analyst,US,EN,FT,120700
Data Analyst,US,EN,FT,67000
Data Analyst,US,EN,FT,139200
Data Analyst,US,EN,FT,63300
Data Analyst,US,EN,FT,74000
Data Analyst,US,EN,FT,67000
AI Engineer,US,SE,FT,250200
AI Engineer,US,SE,FT,117200
AI Engineer,US,EX,FT,334800
AI Engineer,US,EX,FT,175100
Data Scientist,US,SE,FT,234000
Data Scientist,US,SE,FT,117000
Data Architect,US,SE,FT,250777
Data Architect,US,SE,FT,150466
Data Engineer,US,SE,FT,266875
Data Engineer,US,SE,FT,128250
Data Engineer,US,SE,FT,206000
Data Engineer,US,SE,FT,92700
Machine Learning Engineer,US,MI,FT,220000
Machine Learning Engineer,US,MI,FT,96600
Machine Learning Engineer,US,SE,FT,188500
Machine Learning Engineer,US,SE,FT,165100
Data Scientist,US,SE,FT,180000
Data Scientist,US,SE,FT,90000
Data Scientist,US,SE,FT,188500
Data Scientist,US,SE,FT,165100
Data Scientist,US,MI,FT,128300
Data Scientist,US,MI,FT,85500
Data Scientist,US,SE,FT,234000
Data Scientist,US,SE,FT,117000
Data Scientist,US,SE,FT,216000
Data Scientist,US,SE,FT,108000
Data Scientist,US,MI,FT,220000
Data Scientist,US,MI,FT,96600
Data Scientist,US,EN,FT,172000
Data Scientist,US,EN,FT,75600
Data Scientist,US,SE,FT,180000
Data Scientist,US,SE,FT,90000
Business Intelligence Analyst,US,SE,FT,135000
Business Intelligence Analyst,US,SE,FT,125000
Data Analyst,US,EN,FT,141840
Data Analyst,US,EN,FT,85104
Data Analyst,US,EN,FT,172000
Data Analyst,US,EN,FT,75600
Data Analyst,US,EN,FT,130000
Data Analyst,US,EN,FT,70000
Research Engineer,US,SE,FT,143300
Research Engineer,US,SE,FT,79600
Research Engineer,US,SE,FT,189750
Research Engineer,US,SE,FT,104000
Data Engineer,US,SE,FT,221900
Data Engineer,US,SE,FT,138900
Research Analyst,US,SE,FT,165000
Research Analyst,US,SE,FT,125000
Data Engineer,US,SE,FT,221900
Data Engineer,US,SE,FT,138900
Data Scientist,US,SE,FT,273500
Data Scientist,US,SE,FT,126600
Machine Learning Engineer,US,SE,FT,366000
Machine Learning Engineer,US,SE,FT,208000
Data Engineer,US,SE,FT,155000
Data Engineer,US,SE,FT,144560
Data Engineer,GB,MI,FT,81250
Data Engineer,GB,MI,FT,81250
Data Engineer,GB,SE,FT,81250
Data Engineer,GB,SE,FT,81250
Research Analyst,US,SE,FT,151000
Research Analyst,US,SE,FT,104000
Data Engineer,US,SE,FT,173000
Data Engineer,US,SE,FT,138400
Data Analyst,US,EN,FT,120000
Data Analyst,US,EN,FT,100000
Data Analyst,US,EN,FT,100000
Data Analyst,US,EN,FT,80000
Data Analyst,US,SE,FT,203000
Data Analyst,US,SE,FT,135000
Machine Learning Engineer,US,MI,FT,183000
Machine Learning Engineer,US,MI,FT,152000
Machine Learning Engineer,US,SE,FT,215050
Machine Learning Engineer,US,SE,FT,156400
Machine Learning Engineer,US,SE,FT,258000
Machine Learning Engineer,US,SE,FT,214000
Machine Learning Engineer,US,MI,FT,216000
Machine Learning Engineer,US,MI,FT,144000
Machine Learning Engineer,US,SE,FT,340000
Machine Learning Engineer,US,SE,FT,212000
Data Specialist,US,MI,FT,101000
Data Specialist,US,MI,FT,68000
Data Scientist,US,MI,FT,150000
Data Scientist,US,MI,FT,128000
Data Scientist,US,SE,FT,266000
Data Scientist,US,SE,FT,165000
Data Scientist,US,MI,FT,80000
Data Scientist,US,MI,FT,80000
Data Scientist,US,SE,FT,150000
Data Scientist,US,SE,FT,110000
Business Intelligence Engineer,US,MI,FT,127600
Business Intelligence Engineer,US,MI,FT,76400
Business Intelligence Engineer,US,MI,FT,185000
Business Intelligence Engineer,US,MI,FT,89600
Data Engineer,US,MI,FT,270000
Data Engineer,US,MI,FT,130000
Data Engineer,US,MI,FT,145000
Data Engineer,US,MI,FT,145000
Data Engineer,US,SE,FT,240000
Data Engineer,US,SE,FT,175000
Data Architect,US,SE,FT,238000
Data Architect,US,SE,FT,149000
Applied Scientist,US,SE,FT,237000
Applied Scientist,US,SE,FT,161200
Applied Scientist,US,SE,FT,237000
Applied Scientist,US,SE,FT,161200
Applied Scientist,US,SE,FT,270000
Applied Scientist,US,SE,FT,183600
Applied Scientist,US,SE,FT,260000
Applied Scientist,US,SE,FT,150400
Analytics Engineer,US,SE,FT,155000
Analytics Engineer,US,SE,FT,120000
Business Intelligence Analyst,US,EN,FT,167500
Business Intelligence Analyst,US,EN,FT,89400
Research Scientist,US,SE,FT,242000
Research Scientist,US,SE,FT,174900
Research Scientist,US,MI,FT,212800
Research Scientist,US,MI,FT,136000
Data Scientist,US,MI,FT,140000
AI Engineer,US,SE,FT,267800
AI Engineer,US,SE,FT,118450
Data Scientist,US,SE,FT,234000
Data Scientist,US,SE,FT,117000
Data Analyst,GB,EN,FT,60806
Data Analyst,GB,EN,FT,48645
Research Scientist,US,SE,FT,200200
Research Scientist,US,SE,FT,185346
Research Analyst,US,MI,FT,134800
Research Analyst,US,MI,FT,80900
Machine Learning Engineer,US,MI,FT,333000
Machine Learning Engineer,US,MI,FT,189000
Data Engineer,GB,SE,FT,62500
Data Engineer,GB,SE,FT,62500
Data Engineer,US,SE,FT,235400
Data Engineer,US,SE,FT,218701
Data Analyst,US,SE,FT,148000
Data Analyst,US,SE,FT,79800
Data Analyst,CA,SE,FT,138600
Data Analyst,CA,SE,FT,74800
Data Analyst,US,MI,FT,135000
Data Analyst,US,MI,FT,85000
Applied Scientist,US,SE,FT,260000
Applied Scientist,US,SE,FT,150400
Business Intelligence Engineer,US,SE,FT,245400
Business Intelligence Engineer,US,SE,FT,139000
Research Engineer,US,MI,FT,440000
Research Engineer,US,MI,FT,295000
Data Analyst,US,MI,FT,242400
Data Analyst,US,MI,FT,161600
Data Analyst,US,MI,FT,120000
Data Analyst,US,MI,FT,100000
Data Analyst,US,EN,FT,132000
Data Analyst,US,EN,FT,97000
Data Analyst,US,SE,FT,145000
Data Analyst,US,SE,FT,110000
Data Analyst,US,EN,FT,70000
Data Analyst,US,EN,FT,50000
Business Intelligence,US,EX,FT,146900
Business Intelligence,US,EX,FT,146900
Data Engineer,US,SE,FT,190000
Data Engineer,US,SE,FT,107500
Data Engineer,US,SE,FT,200000
Data Engineer,US,SE,FT,113100
Data Engineer,US,SE,FT,180000
Data Engineer,US,SE,FT,130000
Data Engineer,US,SE,FT,180000
Data Engineer,US,SE,FT,130000
Data Engineer,US,SE,FT,180000
Data Engineer,US,SE,FT,130000
Data Engineer,US,SE,FT,218185
Data Engineer,US,SE,FT,158680
Data Engineer,US,MI,FT,140000
Data Engineer,US,MI,FT,25000
Data Engineer,US,MI,FT,119000
Data Engineer,US,MI,FT,95000
Machine Learning Engineer,US,SE,FT,324000
Machine Learning Engineer,US,SE,FT,159000
Machine Learning Engineer,US,SE,FT,325000
Machine Learning Engineer,US,SE,FT,185000
Machine Learning Engineer,US,MI,FT,222000
Machine Learning Engineer,US,MI,FT,134000
Machine Learning Engineer,US,MI,FT,234000
Machine Learning Engineer,US,MI,FT,141000
Machine Learning Engineer,US,SE,FT,285000
Machine Learning Engineer,US,SE,FT,190000
Machine Learning Engineer,US,MI,FT,260000
Machine Learning Engineer,US,MI,FT,125000
Machine Learning Engineer,US,SE,FT,300000
Machine Learning Engineer,US,SE,FT,200000
Machine Learning Engineer,US,SE,FT,297000
Machine Learning Engineer,US,SE,FT,168300
Machine Learning Engineer,US,SE,FT,297000
Machine Learning Engineer,US,SE,FT,168300
Machine Learning Scientist,US,EX,FT,183400
Machine Learning Scientist,US,EX,FT,183400
Data Scientist,US,SE,FT,170000
Data Scientist,US,SE,FT,135000
Data Scientist,US,SE,FT,257600
Data Scientist,US,SE,FT,146000
Data Scientist,US,SE,FT,257600
Data Scientist,US,SE,FT,146000
Data Scientist,US,SE,FT,213500
Data Scientist,US,SE,FT,174000
Data Scientist,US,SE,FT,165000
Data Scientist,US,SE,FT,150000
Data Scientist,US,SE,FT,172800
Data Scientist,US,SE,FT,110000
Data Scientist,US,SE,FT,210000
Data Scientist,US,SE,FT,132000
Data Scientist,US,SE,FT,115700
Data Scientist,US,SE,FT,115700
Data Scientist,US,SE,FT,247008
Data Scientist,US,SE,FT,209797
Data Architect,US,SE,FT,184000
Data Architect,US,SE,FT,123000
Data Scientist,US,SE,FT,235400
Data Scientist,US,SE,FT,188748
Data Scientist,US,SE,FT,196900
Data Scientist,US,SE,FT,175420
Machine Learning Engineer,US,MI,FT,157600
Machine Learning Engineer,US,MI,FT,157600
Data Analyst,US,SE,FT,200000
Data Analyst,US,SE,FT,165000
Data Analyst,US,MI,FT,200000
Data Analyst,US,MI,FT,110000
Business Intelligence Engineer,US,MI,FT,223100
Business Intelligence Engineer,US,MI,FT,129100
Research Engineer,US,MI,FT,208000
Research Engineer,US,MI,FT,146994
Data Manager,US,SE,FT,109000
Data Manager,US,SE,FT,62300
Business Intelligence Analyst,US,EN,FT,183000
Business Intelligence Analyst,US,EN,FT,83400
Business Intelligence,US,EX,FT,255000
Business Intelligence,US,EX,FT,229000
Data Manager,US,SE,FT,70000
Data Manager,US,SE,FT,60000
Data Scientist,US,SE,FT,130000
Data Scientist,US,SE,FT,120000
Data Scientist,US,SE,FT,198000
Data Scientist,US,SE,FT,122500
Data Scientist,US,SE,FT,173000
Data Scientist,US,SE,FT,115000
Data Scientist,US,MI,FT,247200
Data Scientist,US,MI,FT,81400
Data Engineer,US,SE,FT,150000
Data Engineer,US,SE,FT,90000
Data Engineer,US,MI,FT,115000
Data Engineer,US,MI,FT,70000
Analytics Engineer,US,SE,FT,132250
Analytics Engineer,US,SE,FT,88900
Business Intelligence,US,MI,FT,190800
Business Intelligence,US,MI,FT,102800
Data Engineer,US,SE,FT,181600
Data Engineer,US,SE,FT,113600
Data Engineer,US,MI,FT,125000
Data Engineer,US,MI,FT,105000
Data Engineer,US,MI,FT,172000
Data Engineer,US,MI,FT,75600
Research Analyst,US,EN,FT,123000
Research Analyst,US,EN,FT,54000
Data Scientist,US,SE,FT,256150
Data Scientist,US,SE,FT,182850
Data Scientist,US,EN,FT,97525
Data Scientist,US,EN,FT,53950
Data Architect,US,SE,FT,189800
Data Architect,US,SE,FT,105500
Research Scientist,US,SE,FT,240240
Research Scientist,US,SE,FT,221596
Research Scientist,US,MI,FT,200000
Research Scientist,US,MI,FT,136000
Research Scientist,US,MI,FT,200000
Research Scientist,US,MI,FT,136000
Research Scientist,US,SE,FT,209169
Research Scientist,US,SE,FT,96038
Research Scientist,US,SE,FT,110000
Research Scientist,US,SE,FT,74263
Research Scientist,US,MI,FT,199320
Research Scientist,US,MI,FT,154020
Data Specialist,GB,MI,FT,43500
Data Specialist,GB,MI,FT,30000
Data Specialist,US,MI,FT,109230
Data Specialist,US,MI,FT,84405
Data Scientist,US,MI,FT,196900
Data Scientist,US,MI,FT,166698
Data Scientist,US,SE,FT,223000
Data Scientist,US,SE,FT,150000
Data Scientist,US,SE,FT,206000
Data Scientist,US,SE,FT,106605
Data Engineer,US,SE,FT,170000
Data Engineer,US,SE,FT,130000
Data Engineer,US,SE,FT,279400
Data Engineer,US,SE,FT,246552
Data Engineer,US,MI,FT,235400
Data Engineer,US,MI,FT,209720
Data Engineer,US,EX,FT,200000
Data Engineer,US,EX,FT,170000
Data Engineer,US,SE,FT,152000
Data Engineer,US,SE,FT,111000
Data Engineer,US,MI,FT,121000
Data Engineer,US,MI,FT,94000
Data Engineer,US,MI,FT,188500
Data Engineer,US,MI,FT,103000
Data Manager,GB,MI,FT,86750
Data Manager,GB,MI,FT,58000
Data Analyst,GB,SE,FT,74276
Data Analyst,GB,SE,FT,60437
Data Analyst,US,EN,FT,98000
Data Analyst,US,EN,FT,64000
Data Analyst,US,EN,FT,132700
Data Analyst,US,EN,FT,92900
Analytics Engineer,US,SE,FT,186000
Analytics Engineer,US,SE,FT,141440
Data Analyst,US,EN,FT,135000
Data Analyst,US,EN,FT,58500
Data Analyst,CA,EN,FT,95200
Data Analyst,CA,EN,FT,57100
Data Analyst,CA,MI,FT,90011
Data Analyst,CA,MI,FT,68561
Business Intelligence Analyst,US,MI,FT,192300
Business Intelligence Analyst,US,MI,FT,120200
Business Intelligence,US,MI,FT,126342
Business Intelligence,US,MI,FT,101073
Business Intelligence,CA,SE,FT,142000
Business Intelligence,CA,SE,FT,94000
Research Scientist,GB,MI,FT,44875
Research Scientist,GB,MI,FT,39593
Data Manager,US,SE,FT,163000
Data Manager,US,SE,FT,77000
Data Manager,US,SE,FT,128000
Data Manager,US,SE,FT,64000
AI Engineer,US,MI,FT,172000
AI Engineer,US,MI,FT,75600
Data Engineer,US,SE,FT,200000
Data Engineer,US,SE,FT,96000
Machine Learning Engineer,US,SE,FT,207000
Machine Learning Engineer,US,SE,FT,153000
Machine Learning Engineer,US,SE,FT,228800
Machine Learning Engineer,US,SE,FT,197866
Data Engineer,US,SE,FT,143800
Data Engineer,US,SE,FT,91920
Data Engineer,US,SE,FT,200000
Data Engineer,US,SE,FT,96000
Data Engineer,US,SE,FT,188500
Data Engineer,US,SE,FT,165100
Data Engineer,US,SE,FT,286000
Data Engineer,US,SE,FT,143000
Data Scientist,US,SE,FT,185000
Data Scientist,US,SE,FT,100000
Data Scientist,CA,SE,FT,171210
Data Scientist,CA,SE,FT,92190
Data Scientist,CA,SE,FT,137930
Data Scientist,CA,SE,FT,74270
Data Scientist,US,MI,FT,172000
Data Scientist,US,MI,FT,75600
Data Scientist,US,MI,FT,137000
Data Scientist,US,MI,FT,60300
Data Scientist,GB,EN,FT,56250
Data Scientist,GB,EN,FT,56250
Research Engineer,US,MI,FT,235950
Research Engineer,US,MI,FT,145800
Data Scientist,US,MI,FT,129800
Data Scientist,US,MI,FT,72100
Business Intelligence,US,EN,FT,126500
Business Intelligence,US,EN,FT,84300
Business Intelligence Analyst,US,EN,FT,150700
Business Intelligence Analyst,US,EN,FT,87400
Machine Learning Engineer,US,SE,FT,276000
Machine Learning Engineer,US,SE,FT,148000
Research Scientist,US,SE,FT,211900
Research Scientist,US,SE,FT,113700
Data Engineer,US,MI,FT,169000
Data Engineer,US,MI,FT,106000
Data Analyst,US,SE,FT,160000
Data Analyst,US,SE,FT,128000
Data Analyst,US,SE,FT,167000
Data Analyst,US,SE,FT,134000
Data Analyst,US,EN,FT,110000
Data Analyst,US,EN,FT,110000
Data Analyst,US,MI,FT,65000
Data Analyst,US,MI,FT,55000
Data Scientist,US,MI,FT,180000
Data Scientist,US,MI,FT,140000
Data Scientist,US,SE,FT,170000
Data Scientist,US,SE,FT,165000
Data Scientist,US,SE,FT,200000
Data Scientist,US,SE,FT,145000
Business Intelligence Analyst,US,MI,FT,100000
Business Intelligence Analyst,US,MI,FT,75000
Business Intelligence Analyst,GB,SE,FT,68750
Business Intelligence Analyst,GB,SE,FT,50000
Analytics Engineer,US,MI,FT,204000
Analytics Engineer,US,MI,FT,147000
Analytics Engineer,US,SE,FT,165000
Analytics Engineer,US,SE,FT,128000
Machine Learning Engineer,US,SE,FT,234000
Machine Learning Engineer,US,SE,FT,199000
Machine Learning Engineer,US,SE,FT,245000
Machine Learning Engineer,US,SE,FT,163000
Machine Learning Engineer,US,MI,FT,175000
Machine Learning Engineer,US,MI,FT,126277
Data Engineer,US,EN,FT,231400
Data Engineer,US,EN,FT,215197
Data Engineer,US,SE,FT,175000
Data Engineer,US,SE,FT,150000
Data Engineer,US,SE,FT,210000
Data Engineer,US,SE,FT,170000
Data Engineer,US,MI,FT,184000
Data Engineer,US,MI,FT,123000
Research Analyst,US,SE,FT,470000
Research Analyst,US,SE,FT,130000
Applied Scientist,US,MI,FT,222200
Applied Scientist,US,MI,FT,136000
Applied Scientist,US,MI,FT,212800
Applied Scientist,US,MI,FT,129400
Business Intelligence Analyst,US,MI,FT,95000
Business Intelligence Analyst,US,MI,FT,85000
Research Scientist,US,MI,FT,173000
Research Scientist,US,MI,FT,117000
Research Scientist,US,MI,FT,173000
Research Scientist,US,MI,FT,117000
Machine Learning Engineer,US,MI,FT,284900
Machine Learning Engineer,US,MI,FT,189800
Data Engineer,US,SE,FT,250200
Data Engineer,US,SE,FT,117200
Machine Learning Scientist,US,SE,FT,204600
Machine Learning Scientist,US,SE,FT,84500
Data Manager,US,MI,FT,100000
Data Manager,US,MI,FT,64000
Research Scientist,US,SE,FT,251000
Research Scientist,US,SE,FT,177000
Research Scientist,US,MI,FT,251000
Research Scientist,US,MI,FT,177000
Research Scientist,US,SE,FT,240240
Research Scientist,US,SE,FT,221596
Research Scientist,US,SE,FT,294000
Research Scientist,US,SE,FT,137600
Data Engineer,US,SE,FT,235400
Data Engineer,US,SE,FT,212109
Data Engineer,US,SE,FT,235400
Data Engineer,US,SE,FT,215024
Data Engineer,US,MI,FT,154660
Data Engineer,US,MI,FT,133473
Data Engineer,US,MI,FT,128000
Data Engineer,US,MI,FT,81500
Data Engineer,US,MI,FT,117000
Data Engineer,US,MI,FT,81500
Data Engineer,US,MI,FT,117000
Data Engineer,US,MI,FT,81500
Data Engineer,US,MI,FT,123600
Data Engineer,US,MI,FT,61800
Data Engineer,US,SE,FT,160000
Data Engineer,US,SE,FT,130000
Data Engineer,US,SE,FT,236900
Data Engineer,US,SE,FT,92700
Data Engineer,US,SE,FT,236900
Data Engineer,US,SE,FT,118450
Data Engineer,US,EN,FT,112850
Data Engineer,US,EN,FT,90280
Data Analyst,US,MI,FT,82643
Data Analyst,US,MI,FT,56854
Data Analyst,US,EN,FT,83300
Data Analyst,US,EN,FT,47500
Data Analyst,US,MI,FT,65000
Data Analyst,US,MI,FT,56000
Data Analyst,CA,MI,FT,94068
Data Analyst,CA,MI,FT,71967
Data Scientist,US,SE,FT,235400
Data Scientist,US,SE,FT,215846
Data Scientist,US,MI,FT,196900
Data Scientist,US,MI,FT,180393
Data Scientist,US,SE,FT,196900
Data Scientist,US,SE,FT,191061
Data Scientist,US,SE,FT,235400
Data Scientist,US,SE,FT,213770
Data Scientist,US,SE,FT,279400
Data Scientist,US,SE,FT,248920
Data Scientist,US,SE,FT,294000
Data Scientist,US,SE,FT,137600
Data Scientist,GB,MI,FT,61250
Data Scientist,GB,MI,FT,47500
Data Scientist,US,SE,FT,194000
Data Scientist,US,SE,FT,116000
Data Scientist,US,SE,FT,185400
Data Scientist,US,SE,FT,92700
Data Scientist,CA,MI,FT,124300
Data Scientist,CA,MI,FT,90400
Data Scientist,US,SE,FT,206000
Data Scientist,US,SE,FT,106605
Data Scientist,CA,MI,FT,124300
Data Scientist,CA,MI,FT,90400
Data Engineer,US,SE,FT,234000
Data Engineer,US,SE,FT,117000
Data Engineer,US,SE,FT,286000
Data Engineer,US,SE,FT,132000
Data Engineer,US,SE,FT,180000
Data Engineer,US,SE,FT,90000
Data Engineer,US,EX,FT,281800
Data Engineer,US,EX,FT,197500
Data Engineer,US,SE,FT,206000
Data Engineer,US,SE,FT,106605
Research Engineer,US,SE,FT,288400
Research Engineer,US,SE,FT,144200
Data Analyst,US,EN,FT,155640
Data Analyst,US,EN,FT,98572
Data Analyst,US,EN,FT,93000
Data Analyst,US,EN,FT,46000
Data Engineer,US,MI,FT,131800
Data Engineer,US,MI,FT,64890
Machine Learning Engineer,US,SE,FT,206000
Machine Learning Engineer,US,SE,FT,97335
Machine Learning Engineer,US,EX,FT,244900
Machine Learning Engineer,US,EX,FT,163300
Machine Learning Engineer,US,MI,FT,223900
Machine Learning Engineer,US,MI,FT,140100
Machine Learning Engineer,US,MI,FT,144200
Machine Learning Engineer,US,MI,FT,72100
Data Scientist,US,SE,FT,286000
Data Scientist,US,SE,FT,143000
Research Scientist,US,MI,FT,96200
Research Scientist,US,MI,FT,69800
Data Scientist,US,SE,FT,234000
Data Scientist,US,SE,FT,108000
Data Scientist,US,SE,FT,216000
Data Scientist,US,SE,FT,108000
Data Scientist,US,EN,FT,114400
Data Scientist,US,EN,FT,69690
Analytics Engineer,US,SE,FT,267800
Analytics Engineer,US,SE,FT,118450
Research Analyst,US,EN,FT,78600
Research Analyst,US,EN,FT,49100
Data Analyst,US,MI,FT,130900
Data Analyst,US,MI,FT,83100
Analytics Engineer,US,SE,FT,150000
Analytics Engineer,US,SE,FT,100000
Data Analyst,US,EN,FT,124000
Data Analyst,US,EN,FT,84000
Data Analyst,US,EN,FT,83552
Data Analyst,US,EN,FT,49148
Analytics Engineer,US,SE,FT,249600
Analytics Engineer,US,SE,FT,186846
Machine Learning Engineer,US,MI,FT,206690
Machine Learning Engineer,US,MI,FT,119800
Data Scientist,US,SE,FT,164600
Data Scientist,US,SE,FT,99200
Data Scientist,US,MI,FT,154273
Data Scientist,US,MI,FT,114028
Data Scientist,US,MI,FT,137000
Data Scientist,US,MI,FT,60400
Data Scientist,US,SE,FT,250000
Data Scientist,US,SE,FT,110100
Data Scientist,US,MI,FT,172000
Data Scientist,US,MI,FT,75600
Data Scientist,US,MI,FT,172000
Data Scientist,US,MI,FT,75600
Data Scientist,US,MI,FT,172000
Data Scientist,US,MI,FT,75600
